source,target,book,weight
双儿,吴三桂,lu,4
小玄子,吴三桂,lu,1
吴三桂,小玄子,lu,3
韦小宝,苏菲亚,lu,74
苏菲亚,韦小宝,lu,76
苏菲亚,建宁公主,lu,1
建宁公主,苏菲亚,lu,2
陆高轩,苏菲亚,lu,2
苏菲亚,鳌拜,lu,1
双儿,苏菲亚,lu,13
苏菲亚,吴三桂,lu,2
苏菲亚,双儿,lu,13
苏菲亚,方怡,lu,1
苏菲亚,索额图,lu,2
苏菲亚,陈近南,lu,1
吴三桂,苏菲亚,lu,4
索额图,苏菲亚,lu,3
陈近南,苏菲亚,lu,1
徐达,吴三桂,lu,1
常遇春,吴三桂,lu,1
韦小宝,皇太极,lu,1
苏菲亚,皇太极,lu,1
苏菲亚,多尔衮,lu,1
多尔衮,苏菲亚,lu,1
苏菲亚,陆高轩,lu,1
吴三桂,施琅,lu,4
赵良栋,韦小宝,lu,35
韦小宝,赵良栋,lu,31
赵良栋,吴三桂,lu,6
吴三桂,赵良栋,lu,4
吴应熊,赵良栋,lu,3
赵良栋,吴应熊,lu,7
赵良栋,建宁公主,lu,1
吴应熊,王进宝,lu,9
建宁公主,王进宝,lu,1
王进宝,韦小宝,lu,43
王进宝,吴应熊,lu,12
韦小宝,王进宝,lu,42
王进宝,赵良栋,lu,9
赵良栋,王进宝,lu,12
李自成,徐达,lu,1
李自成,陈友谅,lu,1
李自成,常遇春,lu,1
吴三桂,徐达,lu,1
吴三桂,陈友谅,lu,1
吴三桂,常遇春,lu,1
王进宝,吴三桂,lu,6
施琅,徐天川,lu,1
风际中,施琅,lu,4
徐天川,施琅,lu,1
徐天川,曾柔,lu,2
曾柔,韦小宝,lu,21
曾柔,赵良栋,lu,1
风际中,曾柔,lu,2
钱老本,曾柔,lu,1
曾柔,钱老本,lu,2
双儿,曾柔,lu,8
方怡,曾柔,lu,7
方怡,钱老本,lu,1
韦小宝,慕天颜,lu,29
慕天颜,韦小宝,lu,29
慕天颜,王进宝,lu,1
王进宝,吴之荣,lu,1
吴之荣,慕天颜,lu,9
慕天颜,吴三桂,lu,8
慕天颜,吴之荣,lu,6
吴三桂,慕天颜,lu,7
吴之荣,吴三桂,lu,9
吴三桂,吴之荣,lu,7
吴之荣,陈圆圆,lu,2
陈圆圆,吴之荣,lu,1
双儿,葛尔丹,lu,3
双儿,桑结,lu,4
曾柔,双儿,lu,3
曾柔,葛尔丹,lu,1
曾柔,桑结,lu,2
葛尔丹,双儿,lu,2
葛尔丹,曾柔,lu,1
葛尔丹,桑结,lu,14
桑结,葛尔丹,lu,13
桑结,双儿,lu,4
桑结,曾柔,lu,1
吴应熊,桑结,lu,4
吴三桂,桑结,lu,10
葛尔丹,徐天川,lu,1
桑结,徐天川,lu,1
桑结,赵齐贤,lu,1
徐天川,葛尔丹,lu,1
赵齐贤,葛尔丹,lu,1
葛尔丹,陈圆圆,lu,12
陈圆圆,葛尔丹,lu,12
陈圆圆,桑结,lu,10
桑结,陈圆圆,lu,9
葛尔丹,建宁公主,lu,1
桑结,建宁公主,lu,1
建宁公主,葛尔丹,lu,1
葛尔丹,吴应熊,lu,1
陈圆圆,吴应熊,lu,3
桑结,吴应熊,lu,3
吴应熊,陈圆圆,lu,3
葛尔丹,小玄子,lu,1
陈圆圆,小玄子,lu,1
桑结,小玄子,lu,1
小玄子,葛尔丹,lu,1
桑结,胖头陀,lu,4
桑结,陆高轩,lu,4
桑结,瘦头陀,lu,3
葛尔丹,胖头陀,lu,2
葛尔丹,陆高轩,lu,2
葛尔丹,瘦头陀,lu,3
陆高轩,桑结,lu,4
